id,date,description,amount,category,status
TXN0001,2024-01-01,Refund processed,43008.93,Transfer,completed
TXN0002,2024-01-02,Square deposit,33925.83,Transfer,pending
TXN0003,2024-01-03,Salary transfer,12250.22,Tax,disputed
TXN0004,2024-01-04,Square deposit,45531.92,Refund,disputed
TXN0005,2024-01-04,Bank transfer,10428.61,Expense,completed
TXN0006,2024-01-04,Invoice #1042,44712.58,Revenue,disputed
TXN0007,2024-01-04,Refund processed,18793.18,Refund,disputed
TXN0008,2024-01-04,Refund processed,27780.51,Expense,pending
TXN0009,2024-01-05,Square deposit,7791.44,Refund,disputed
TXN0010,2024-01-05,Stripe payout,5904.61,Refund,pending
TXN0011,2024-01-06,Chase payment,47362.66,Tax,completed
TXN0012,2024-01-07,Invoice #1042,15222.71,Payroll,disputed
TXN0013,2024-01-07,Vendor payment,43561.15,Revenue,completed
TXN0014,2024-01-08,Bank transfer,15355.82,Expense,disputed
TXN0015,2024-01-09,Subscription fee,13833.9,Transfer,pending
TXN0016,2024-01-09,Client payment,9402.8,Tax,disputed
TXN0017,2024-01-10,Refund processed,29183.89,Revenue,pending
TXN0018,2024-01-10,Square deposit,30679.19,Payroll,completed
TXN0019,2024-01-10,Subscription fee,11793.01,Refund,completed
TXN0020,2024-01-11,Vendor payment,16936.95,Transfer,disputed
TXN0021,2024-01-11,Salary transfer,32414.65,Transfer,pending
TXN0022,2024-01-12,Salary transfer,43519.14,Expense,completed
TXN0023,2024-01-13,Salary transfer,39577.86,Revenue,pending
TXN0024,2024-01-13,Credit card charge,31404.51,Transfer,disputed
TXN0025,2024-01-14,Subscription fee,2582.85,Revenue,pending
TXN0026,2024-01-15,Vendor payment,5766.61,Transfer,completed
TXN0027,2024-01-15,Stripe payout,10849.05,Transfer,completed
TXN0028,2024-01-16,Subscription fee,30259.24,Refund,disputed
TXN0029,2024-01-17,Invoice #1042,15210.01,Payroll,disputed
TXN0030,2024-01-17,Stripe payout,26406.99,Expense,pending
TXN0031,2024-01-18,Chase payment,10270.98,Payroll,pending
TXN0032,2024-01-19,Salary transfer,43089.77,Payroll,completed
TXN0033,2024-01-19,Chase payment,38652.0,Payroll,pending
TXN0034,2024-01-19,Chase payment,26442.28,Tax,pending
TXN0035,2024-01-20,Salary transfer,31889.92,Transfer,pending
TXN0036,2024-01-21,Refund processed,38012.84,Refund,pending
TXN0037,2024-01-22,Salary transfer,23274.15,Revenue,pending
TXN0038,2024-01-22,Chase payment,13646.11,Transfer,disputed
TXN0039,2024-01-22,Vendor payment,45112.55,Tax,pending
TXN0040,2024-01-23,Vendor payment,14652.4,Expense,pending
TXN0041,2024-01-24,Bank transfer,46541.84,Refund,disputed
TXN0042,2024-01-24,Invoice #1042,46687.3,Transfer,disputed
TXN0043,2024-01-25,Square deposit,12651.44,Tax,disputed
TXN0044,2024-01-26,Square deposit,1845.16,Revenue,disputed
TXN0045,2024-01-27,Bank transfer,38162.01,Expense,pending
TXN0046,2024-01-27,Client payment,42432.72,Payroll,completed
TXN0047,2024-01-28,Credit card charge,7805.98,Revenue,completed
TXN0048,2024-01-28,Credit card charge,45714.21,Expense,disputed
TXN0049,2024-01-28,Refund processed,33294.36,Payroll,completed
TXN0050,2024-01-29,Stripe payout,33582.84,Refund,completed
TXN0051,2024-01-29,Invoice #1042,10411.46,Tax,completed
TXN0052,2024-01-30,Credit card charge,17650.24,Revenue,pending
TXN0053,2024-01-31,Bank transfer,29823.72,Payroll,disputed
TXN0054,2024-01-31,Stripe payout,15338.8,Refund,pending
TXN0055,2024-02-01,Square deposit,622.26,Refund,disputed
TXN0056,2024-02-01,Refund processed,29003.64,Transfer,completed
TXN0057,2024-02-01,Square deposit,10589.84,Refund,disputed
TXN0058,2024-02-02,Client payment,34140.52,Transfer,completed
TXN0059,2024-02-03,Stripe payout,27100.69,Transfer,pending
TXN0060,2024-02-03,Credit card charge,46580.4,Payroll,pending
TXN0061,2024-02-03,Bank transfer,24269.01,Payroll,disputed
TXN0062,2024-02-04,Salary transfer,39110.02,Revenue,completed
TXN0063,2024-02-05,Salary transfer,34383.9,Expense,disputed
